Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,28.050000,-17.750000,0.000000,bottom
C2,0.1uF,C_0805_2012Metric,19.750000,-24.500000,180.000000,bottom
C3,0.1uF,C_0805_2012Metric,23.450000,-24.500000,180.000000,bottom
C4,10uF,C_0805_2012Metric,24.200000,-5.250000,180.000000,bottom
C5,0.1uF,C_0805_2012Metric,20.450000,-4.750000,180.000000,bottom
C6,10uF,C_0805_2012Metric,25.000000,-10.537500,90.000000,bottom
C7,0.1uF,C_0805_2012Metric,22.500000,-10.537500,90.000000,bottom
J1,Conn_01x06,PinHeader_1x06_P2.54mm_Vertical,34.500000,-8.250000,180.000000,bottom
J2,MJ-3523-SMT-TR,CUI_MJ-3523-SMT-TR,0.500000,-15.806100,90.000000,bottom
L1,3.3uH,L_0603_1608Metric,30.750000,-6.250000,180.000000,bottom
Q2,SS8550,SOT-23,28.250000,-8.437500,90.000000,bottom
R1,100,R_0805_2012Metric,28.087500,-22.250000,180.000000,bottom
R2,100,R_0805_2012Metric,28.087500,-20.000000,0.000000,bottom
R3,100,R_0805_2012Metric,27.162500,-26.750000,0.000000,bottom
R4,100,R_0805_2012Metric,27.162500,-24.500000,0.000000,bottom
R5,20K,R_0805_2012Metric,27.750000,-12.500000,90.000000,bottom
R6,8.2K,R_0805_2012Metric,28.087500,-15.500000,180.000000,bottom
R7,10K,R_0805_2012Metric,24.087500,-7.500000,0.000000,bottom
U2,HX711,SOIC-16_3.9x9.9mm_P1.27mm,22.275000,-17.695000,180.000000,bottom
